type,id,item,prediction,actual,points,label
match,1,מקסיקו - דרום אפריקה,2-0,2-0,10,בול
match,2,דרום קוריאה - צ'כיה,1-1,2-1,0,פספוס
match,3,צ'כיה - דרום אפריקה,1-0,None-None,0,ממתין לתוצאת משחק
match,4,מקסיקו - דרום קוריאה,1-1,None-None,0,ממתין לתוצאת משחק
match,5,דרום אפריקה - דרום קוריאה,1-2,None-None,0,ממתין לתוצאת משחק
match,6,צ'כיה - מקסיקו,0-1,None-None,0,ממתין לתוצאת משחק
match,7,קנדה - בוסניה,1-1,1-1,10,בול
match,8,קטאר - שווייץ,0-2,1-1,0,פספוס
match,9,שווייץ - בוסניה,1-0,None-None,0,ממתין לתוצאת משחק
match,10,קנדה - קטאר,2-1,None-None,0,ממתין לתוצאת משחק
match,11,שווייץ - קנדה,2-0,None-None,0,ממתין לתוצאת משחק
match,12,בוסניה - קטאר,1-1,None-None,0,ממתין לתוצאת משחק
match,13,ברזיל - מרוקו,1-1,1-1,10,בול
match,14,האיטי - סקוטלנד,0-2,0-1,5,כיוון
match,15,סקוטלנד - מרוקו,1-2,None-None,0,ממתין לתוצאת משחק
match,16,ברזיל - האיטי,3-0,None-None,0,ממתין לתוצאת משחק
match,17,סקוטלנד - ברזיל,0-2,None-None,0,ממתין לתוצאת משחק
match,18,מרוקו - האיטי,2-0,None-None,0,ממתין לתוצאת משחק
match,19,"ארה""ב - פרגוואי",2-0,4-1,5,כיוון
match,20,אוסטרליה - טורקיה,1-2,2-0,0,פספוס
match,21,"ארה""ב - אוסטרליה",2-0,None-None,0,ממתין לתוצאת משחק
match,22,טורקיה - פרגוואי,1-1,None-None,0,ממתין לתוצאת משחק
match,23,פרגוואי - אוסטרליה,1-0,None-None,0,ממתין לתוצאת משחק
match,24,"טורקיה - ארה""ב",1-1,None-None,0,ממתין לתוצאת משחק
match,25,גרמניה - קורסאו,3-0,7-1,5,כיוון
match,26,חוף השנהב - אקוואדור,1-1,1-0,0,פספוס
match,27,גרמניה - חוף השנהב,2-1,None-None,0,ממתין לתוצאת משחק
match,28,אקוואדור - קורסאו,2-0,None-None,0,ממתין לתוצאת משחק
match,29,אקוואדור - גרמניה,1-1,None-None,0,ממתין לתוצאת משחק
match,30,קורסאו - חוף השנהב,0-2,None-None,0,ממתין לתוצאת משחק
match,31,הולנד - יפן,2-1,2-2,0,פספוס
match,32,שבדיה - טוניסיה,1-0,5-1,5,כיוון
match,33,הולנד - שבדיה,1-1,None-None,0,ממתין לתוצאת משחק
match,34,טוניסיה - יפן,0-2,None-None,0,ממתין לתוצאת משחק
match,35,טוניסיה - הולנד,0-2,None-None,0,ממתין לתוצאת משחק
match,36,יפן - שבדיה,1-1,None-None,0,ממתין לתוצאת משחק
match,37,בלגיה - מצרים,2-1,1-1,0,פספוס
match,38,איראן - ניו זילנד,1-0,2-2,0,פספוס
match,39,בלגיה - איראן,2-0,None-None,0,ממתין לתוצאת משחק
match,40,ניו זילנד - מצרים,0-2,None-None,0,ממתין לתוצאת משחק
match,41,מצרים - איראן,1-1,None-None,0,ממתין לתוצאת משחק
match,42,ניו זילנד - בלגיה,0-3,None-None,0,ממתין לתוצאת משחק
match,43,ספרד - קייפ ורדה,3-0,0-0,0,פספוס
match,44,ערב הסעודית - אורוגוואי,0-2,1-1,0,פספוס
match,45,ספרד - ערב הסעודית,2-0,None-None,0,ממתין לתוצאת משחק
match,46,אורוגוואי - קייפ ורדה,2-0,None-None,0,ממתין לתוצאת משחק
match,47,אורוגוואי - ספרד,1-1,None-None,0,ממתין לתוצאת משחק
match,48,קייפ ורדה - ערב הסעודית,0-1,None-None,0,ממתין לתוצאת משחק
match,49,צרפת - סנגל,2-1,3-1,5,כיוון
match,50,עירק - נורווגיה,0-3,1-4,7,כיוון + הפרש
match,51,צרפת - עירק,3-0,None-None,0,ממתין לתוצאת משחק
match,52,נורווגיה - סנגל,1-1,None-None,0,ממתין לתוצאת משחק
match,53,נורווגיה - צרפת,1-1,None-None,0,ממתין לתוצאת משחק
match,54,סנגל - עירק,2-0,None-None,0,ממתין לתוצאת משחק
match,55,ארגנטינה - אלג'יריה,2-1,3-0,5,כיוון
