matchId,match,currentStatus,currentScore,espnEventId,espnName,candidateScore,candidateStatus,clock,sourceUrl,note
1,מקסיקו - דרום אפריקה,verified,2-0,760415,South Africa at Mexico,2-0,verified,90'+8',https://www.espn.com/soccer/match/_/gameId/760415,Full Time
2,דרום קוריאה - צ'כיה,verified,2-1,760414,Czechia at South Korea,2-1,verified,90'+7',https://www.espn.com/soccer/match/_/gameId/760414,Full Time
3,צ'כיה - דרום אפריקה,pending,None-None,,,,not_found,,,
4,מקסיקו - דרום קוריאה,pending,None-None,,,,not_found,,,
5,דרום אפריקה - דרום קוריאה,pending,None-None,,,,not_found,,,
6,צ'כיה - מקסיקו,pending,None-None,,,,not_found,,,
7,קנדה - בוסניה,verified,1-1,760416,Bosnia-Herzegovina at Canada,1-1,verified,90'+7',https://www.espn.com/soccer/match/_/gameId/760416,Full Time
8,קטאר - שווייץ,verified,1-1,760420,Switzerland at Qatar,1-1,verified,90'+7',https://www.espn.com/soccer/match/_/gameId/760420,Full Time
9,שווייץ - בוסניה,pending,None-None,,,,not_found,,,
10,קנדה - קטאר,pending,None-None,,,,not_found,,,
11,שווייץ - קנדה,pending,None-None,,,,not_found,,,
12,בוסניה - קטאר,pending,None-None,,,,not_found,,,
13,ברזיל - מרוקו,verified,1-1,760419,Morocco at Brazil,1-1,verified,90'+25',https://www.espn.com/soccer/match/_/gameId/760419,Full Time
14,האיטי - סקוטלנד,verified,0-1,760418,Scotland at Haiti,0-1,verified,90'+8',https://www.espn.com/soccer/match/_/gameId/760418,Full Time
15,סקוטלנד - מרוקו,pending,None-None,,,,not_found,,,
16,ברזיל - האיטי,pending,None-None,,,,not_found,,,
17,סקוטלנד - ברזיל,pending,None-None,,,,not_found,,,
18,מרוקו - האיטי,pending,None-None,,,,not_found,,,
19,"ארה""ב - פרגוואי",verified,4-1,760417,Paraguay at United States,4-1,verified,90'+9',https://www.espn.com/soccer/match/_/gameId/760417,Full Time
20,אוסטרליה - טורקיה,verified,2-0,760421,Türkiye at Australia,2-0,verified,90'+6',https://www.espn.com/soccer/match/_/gameId/760421,Full Time
21,"ארה""ב - אוסטרליה",pending,None-None,,,,not_found,,,
22,טורקיה - פרגוואי,pending,None-None,,,,not_found,,,
23,פרגוואי - אוסטרליה,pending,None-None,,,,not_found,,,
24,"טורקיה - ארה""ב",pending,None-None,,,,not_found,,,
25,גרמניה - קורסאו,verified,7-1,760422,Curaçao at Germany,7-1,verified,90'+6',https://www.espn.com/soccer/match/_/gameId/760422,Full Time
26,חוף השנהב - אקוואדור,verified,1-0,760423,Ecuador at Ivory Coast,1-0,verified,90'+8',https://www.espn.com/soccer/match/_/gameId/760423,Full Time
27,גרמניה - חוף השנהב,pending,None-None,,,,not_found,,,
28,אקוואדור - קורסאו,pending,None-None,,,,not_found,,,
29,אקוואדור - גרמניה,pending,None-None,,,,not_found,,,
30,קורסאו - חוף השנהב,pending,None-None,,,,not_found,,,
31,הולנד - יפן,verified,2-2,760425,Japan at Netherlands,2-2,verified,90'+6',https://www.espn.com/soccer/match/_/gameId/760425,Full Time
32,שבדיה - טוניסיה,verified,5-1,760424,Tunisia at Sweden,5-1,verified,90'+6',https://www.espn.com/soccer/match/_/gameId/760424,Full Time
33,הולנד - שבדיה,pending,None-None,,,,not_found,,,
34,טוניסיה - יפן,pending,None-None,,,,not_found,,,
35,טוניסיה - הולנד,pending,None-None,,,,not_found,,,
36,יפן - שבדיה,pending,None-None,,,,not_found,,,
37,בלגיה - מצרים,verified,1-1,760426,Egypt at Belgium,1-1,verified,90'+5',https://www.espn.com/soccer/match/_/gameId/760426,Full Time
38,איראן - ניו זילנד,pending,None-None,760427,New Zealand at Iran,1-1,live,33',https://www.espn.com/soccer/match/_/gameId/760427,First Half
39,בלגיה - איראן,pending,None-None,,,,not_found,,,
40,ניו זילנד - מצרים,pending,None-None,,,,not_found,,,
41,מצרים - איראן,pending,None-None,,,,not_found,,,
42,ניו זילנד - בלגיה,pending,None-None,,,,not_found,,,
