id,row,num,section,question,actualAnswer,status,sourceStatus,sourceTitle,sourceUrl,maxPoints
1,132,(1,"(*) ""שלב הבתים""",הנבחרת שתבעט את בעיטת הפתיחה במשחק הפתיחה (מקסיקו - דרום אפריקה) תהיה:,מקסיקו,known,verified_fifa,FIFA official opening match report / match centre reference,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/mexico-south-africa-highlights-match-report,2
2,134,(2,"(*) ""שלב הבתים""",בעיטת הפתיחה של משחק הפתיחה תיבעט ב:,רגל ימין,known,verified_fifa,FIFA official opening match report / match centre reference,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/mexico-south-africa-highlights-match-report,2
3,136,(3,"(*) ""שלב הבתים""",האירוע הראשון בטורניר לאחר שריקת הפתיחה יהיה:,זריקת חוץ,known,verified_fifa,FIFA official opening match report / match centre reference,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/mexico-south-africa-highlights-match-report,3
4,138,(4,"(*) ""שלב הבתים""",השער הראשון בטורניר יובקע ב:,רגל ימין,known,verified_fifa,FIFA official opening match report / match centre reference,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/mexico-south-africa-highlights-match-report,5
5,140,(5,"(*) ""שלב הבתים""",הבית עם מס' השערים הנמוך ביותר,לא ידוע | מס' השערים שיובקעו: לא ידוע,pending,pending,,,20
6,142,(6,"(*) ""שלב הבתים""",הבית עם מס' השערים הרב ביותר,לא ידוע | מס' השערים שיובקעו: לא ידוע,pending,pending,,,20
7,144,(7,"(*) ""שלב הבתים""",הנבחרת שתבקיע את מס' השערים הגדול ביותר בשלב הבתים,לא ידוע | מס' השערים שתבקיע: לא ידוע,pending,pending,,,20
8,146,(8,"(*) ""שלב הבתים""",הנבחרת שתספוג את מס' השערים הגדול ביותר בשלב הבתים,לא ידוע | מס' השערים שתספוג: לא ידוע,pending,pending,,,20
9,148,(9,"(*) ""שלב הבתים""",הנבחרת שתבקיע את מס' השערים הקטן ביותר בשלב הבתים,לא ידוע | מס' השערים שתבקיע: לא ידוע,pending,pending,,,20
10,150,(10,"(*) ""שלב הבתים""",הנבחרת שתספוג את מס' השערים הקטן ביותר בשלב הבתים,לא ידוע | מס' השערים שתספוג: לא ידוע,pending,pending,,,20
11,152,(11,"(*) ""שלב הבתים""",הנבחרת בעלת הכי הרבה תוצאות תיקו בשלב הבתים,לא ידוע | מס' תוצאות תיקו: לא ידוע,pending,pending,,,20
12,154,(12,"(*) ""שלב הבתים""","מס' תוצאות התיקו שיהיו בשלב הבתים (סה""כ 72 משחקים)",לא ידוע,pending,pending,,,10
13,156,(13,"(*) ""שלב הבתים""",הנבחרת שתספוג הכי הרבה כרטיסים אדומים בשלב הבתים,לא ידוע | מס' הכרטיסים שתספוג: לא ידוע,pending,pending,,,20
14,158,(14,"(*) ""שלב הבתים""","מס' כרטיסים אדומים שיישלפו בשלב הבתים (סה""כ 72 משחקים)",לא ידוע,pending,pending,,,10
15,160,(15,"(*) ""שלב הבתים""",מלך השערים בבתים,לא ידוע | לא ידוע | מס' השערים שיכבוש: לא ידוע,pending,pending,,,20
16,162,(16,"(*) ""שלב הבתים""",הנבחרת שיישרקו לזכותה הכי הרבה פנדלים בבתים,לא ידוע + מס' הפנדלים שיישרקו: לא ידוע,pending,pending,,,20
17,164,(17,"(*) ""שלב הבתים""",הנבחרת שיישרקו לחובתה הכי הרבה פנדלים בבתים,לא ידוע + מס' הפנדלים שיישרקו: לא ידוע,pending,pending,,,20
18,166,(18,"(*) ""שלב הבתים""","מס' פנדלים שיישרקו בשלב הבתים (סה""כ 72 משחקים)",לא ידוע,pending,pending,,,10
19,173,(1,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",מי מהשחקנים יבקיע יותר שערים בשלב הבתים ?,לא ידוע,pending,pending,,,10
20,175,(2,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",מאיזו יבשת יבקיעו יותר שערים בשלב הבתים ?,לא ידוע,pending,pending,,,10
21,178,(3,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",האם כל השחקנים יכבשו ביחד לפחות 15 שערים לזכות נבחרתם בשלב הבתים ?,לא ידוע,pending,pending,,,10
22,180,(4,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",מי מהשחקנים יבקיע יותר שערים בנגיחה בשלב הבתים ?,לא ידוע,pending,pending,,,10
23,182,(5,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",מאיזו יבשת יבקיעו יותר שערים בנגיחה בשלב הבתים ?,לא ידוע,pending,pending,,,10
24,185,(6,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",האם כל השחקנים יכבשו בנגיחה ביחד לפחות 2 שערים לזכות נבחרתם בשלב הבתים ?,לא ידוע,pending,pending,,,10
25,187,(7,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",מי מהשחקנים יבשל יותר שערים בשלב הבתים ?,לא ידוע,pending,pending,,,10
